Gene;T_cluster_0;T_cluster_1;T_cluster_2;T_cluster_3;T_cluster_4;T_cluster_5;T_cluster_6
SERPINE2;0;0;0;1;0;0;0
TC2N;1;1;0;0;0;0;0
HECTD2;0;0;0;0;0;0;1
TUBA1B;1;0;0;0;0;1;0
AL161457.2;0;0;0;0;1;0;0
CXCR4;1;1;1;0;1;1;0
PIK3R1;1;1;0;0;1;1;0
XAF1;0;0;1;0;0;1;0
RPS26;1;0;0;0;1;0;0
IFIT3;0;0;1;0;0;0;0
TUBB4B;0;0;1;0;0;1;0
TUBA1A;1;0;1;0;0;0;0
KCTD7;1;0;0;0;0;0;0
AL603756.1;0;0;0;1;1;0;0
H1FX;0;0;0;0;0;1;0
REL;1;0;0;0;0;0;1
SESN1;0;1;0;1;0;1;0
UHRF1BP1;0;0;0;0;0;0;1
FAM174B;0;0;0;1;0;0;0
PHIP;0;0;0;0;0;0;1
IVNS1ABP;0;0;0;0;0;0;1
H2AFZ;1;1;0;0;0;0;0
CTSW;1;0;0;0;1;0;0
KIF21B;0;0;1;0;0;0;0
COL5A1;0;0;0;0;1;0;0
TBC1D32;0;0;0;0;0;0;1
PTP4A3;0;0;0;0;0;0;1
FKBP5;1;1;1;0;1;1;1
PLSCR1;0;0;0;0;0;1;0
OASL;1;0;0;0;1;1;0
ITGA4;0;1;0;0;0;0;0
AL512625.1;0;0;0;0;1;0;0
SNHG10;0;0;0;0;0;0;1
AREG;1;1;0;1;1;1;0
ISG20;1;0;0;0;0;0;0
CCND2;0;0;0;0;0;1;0
HMGB2;1;1;0;0;0;0;0
ANKRD36C;0;0;0;0;0;0;1
LYZ;0;0;0;1;0;0;0
IGKV3-20;0;0;0;0;0;1;0
COL9A3;0;0;0;0;1;0;0
CD109;0;0;0;0;0;0;1
DUSP2;1;0;0;0;0;1;0
AC016596.1;0;0;0;1;0;0;0
PNMA5;0;1;1;0;0;0;0
PYHIN1;0;0;0;0;1;0;1
POLR2J2;0;0;1;0;0;0;0
TNFSF14;1;1;1;1;1;1;0
CRTAM;1;0;0;1;1;0;0
HIST1H4C;1;0;0;0;0;0;0
FAM13A;0;0;0;1;0;0;0
MX2;0;0;1;0;0;0;0
INPP4B;0;0;0;0;0;0;1
LYST;0;0;0;0;1;0;0
SLC38A2;0;0;0;0;0;0;1
TRAV8-2;0;1;0;0;0;0;0
HLA-B;0;0;0;0;1;0;1
IRF1;1;1;1;1;0;1;1
RNF19A;0;1;0;1;0;0;0
ZNF561;0;0;0;0;0;0;1
SFMBT2;0;0;0;1;0;0;0
SPDEF;0;0;0;0;1;0;0
SAMSN1;0;0;0;1;1;1;0
FTX;0;0;0;0;1;0;0
IGKC;0;1;0;0;0;0;1
TNFSF8;1;1;0;1;0;0;0
IGHV3-15;0;0;0;0;1;0;0
HSP90AA1;0;0;0;0;0;0;1
LMNA;0;0;0;0;1;0;0
MORN3;0;0;0;0;1;0;0
IL7R;1;1;1;1;0;0;0
GPRIN3;0;0;0;0;0;1;0
NHLRC2;1;0;0;0;0;0;0
DDX60L;0;0;0;0;0;1;0
LTB;0;0;1;0;0;1;0
ANXA1;0;0;0;1;0;0;0
WDR97;0;0;0;1;0;0;0
SAMD9;1;0;0;0;0;0;0
AC021188.1;1;0;0;0;0;0;0
COL1A1;0;0;0;0;0;1;0
CRABP2;0;0;0;0;1;0;0
CLOCK;0;0;0;0;0;0;1
GPR183;0;0;1;0;0;0;0
KLF10;1;0;1;1;1;1;0
ZNF629;1;0;0;0;0;0;0
RASD1;0;0;0;0;0;1;0
HNRNPLL;0;0;0;0;1;0;0
AC097534.2;0;0;1;0;0;0;0
GADD45G;0;0;0;1;0;0;0
JUN;0;0;0;0;1;0;0
LFNG;1;0;0;0;0;1;0
DYRK2;0;1;0;0;0;0;0
TNFRSF12A;0;0;0;1;0;0;0
KMT2A;1;0;0;0;0;0;0
ERN1;1;1;0;1;1;1;0
SGSM2;0;0;0;0;0;0;1
C1QA;0;0;0;0;1;0;0
IL18R1;0;1;0;0;0;0;1
NR4A2;0;1;1;1;1;0;0
HAVCR2;1;0;0;1;0;0;0
TSC22D3;1;1;1;1;1;1;1
BTG2;0;1;0;0;0;0;0
FCGBP;0;1;0;0;0;0;0
ICA1;0;0;1;0;0;0;0
IL2;0;1;0;0;0;0;0
DTHD1;0;0;0;1;0;0;0
GNLY;0;0;0;0;1;0;0
DUSP1;1;1;0;0;1;1;1
RNF213;0;0;0;0;0;1;1
TOB1;1;1;0;0;0;0;0
RSAD2;0;0;1;0;0;1;0
JUNB;0;1;0;1;0;0;0
ICAM1;1;0;0;0;0;0;0
ERRFI1;0;1;0;0;0;0;0
ID2;0;1;0;0;0;0;0
ADAM28;0;0;0;0;1;0;0
PRSS23;0;0;0;0;1;0;0
PAXBP1;1;0;0;0;0;0;0
FAAH2;0;0;0;0;0;0;1
NCF1;0;1;0;0;0;0;0
CTSL;0;0;0;1;0;0;0
ZNF683;0;0;0;0;1;0;0
AC243829.4;0;0;0;0;1;1;0
SOCS3;0;1;1;0;0;0;0
ATF3;1;1;0;0;1;0;0
HSPA5;0;0;0;0;0;0;1
GLUL;1;1;0;0;0;0;0
PATL2;0;0;0;0;0;0;1
SOGA1;0;0;0;0;1;0;0
RGCC;0;1;0;0;0;0;0
TXNIP;1;1;1;1;1;1;1
C1R;0;0;1;0;0;0;0
KLF2;0;0;1;1;0;0;0
CLNK;0;0;0;0;1;0;0
LNPEP;0;0;0;0;1;0;0
IGKV4-1;0;0;0;0;0;0;1
ZNF507;0;0;1;0;1;0;0
TGFBR1;1;0;0;0;0;0;0
CD69;1;1;0;0;0;1;0
KIAA1217;0;0;0;1;0;0;0
MARCH9;0;0;0;0;1;0;0
HLA-A;0;0;0;0;1;0;1
EEF1A1;0;0;0;0;1;0;1
ISG15;0;0;0;0;0;1;0
HSPH1;0;0;0;0;1;0;0
NOTCH2NL;0;0;0;0;0;0;1
FOS;0;0;0;1;0;0;0
UCP2;0;0;1;0;0;0;0
RHOB;0;0;1;0;0;0;0
BIRC3;0;1;0;1;0;0;0
GABARAPL1;1;0;0;0;0;0;0
HPGD;0;0;0;1;0;0;0
DNAJB1;0;0;1;0;0;0;1
SGK1;1;0;0;0;0;0;1
CD82;0;0;1;0;0;0;0
IGHA1;0;0;0;0;0;1;0
S100A14;0;0;0;0;0;1;0
SLA;1;1;1;1;0;0;0
GABPB1-AS1;1;1;1;1;1;0;0
ID3;1;1;1;0;1;0;0
POU2F2;0;1;1;0;0;0;0
COL12A1;0;0;1;0;0;0;0
KLRB1;0;0;0;1;0;0;0
AC020659.1;0;0;1;0;0;0;0
CSF2;0;0;0;1;0;0;0
CD38;0;0;0;1;0;0;0
WWC3;0;0;0;0;0;0;1
AC025164.1;1;1;1;0;1;1;0
CMPK2;0;0;0;0;0;1;1
TBC1D4;0;0;0;1;0;0;0
CEBPD;1;0;0;0;0;1;0
ZBTB21;0;0;0;0;1;0;0
RASGEF1B;0;0;0;0;1;0;0
IL2RB;1;0;0;0;0;0;0
TRAC;1;0;0;0;0;0;0
STAG3;0;0;1;0;0;0;0
ANKRD28;1;1;0;1;0;0;0
ITGAE;0;0;0;0;1;0;0
IER5L;0;0;0;1;0;0;0
LTA;0;1;1;0;0;0;0
IRF4;1;0;0;1;1;0;1
TP53INP1;0;0;0;1;0;0;0
TRAV1-1;0;0;0;0;1;0;0
TNFAIP3;0;1;1;1;0;0;0
CLASP1;0;0;0;0;0;1;0
BCLAF3;0;0;0;0;0;1;0
MGP;0;0;0;0;0;0;1
PPP1R14B;0;0;0;0;1;0;0
F5;0;0;0;0;0;0;1
ZFP36L1;1;1;1;1;1;1;0
C1QB;0;0;0;1;1;0;0
IGHG2;0;0;0;0;0;0;1
F2R;0;0;1;1;0;0;0
CD8A;0;0;0;0;0;0;1
IRF7;0;0;0;1;0;0;0
ZBTB16;0;0;0;0;0;0;1
Z82188.2;0;0;1;0;0;0;0
NTNG2;0;0;0;1;0;0;0
VCAM1;0;0;0;0;1;0;0
FASLG;1;1;0;1;1;1;0
SYNE1;1;0;0;0;0;0;0
COL4A2;0;0;1;0;0;0;0
MIR4435-2HG;0;0;1;0;0;0;0
IGHG1;0;0;1;0;0;0;1
ABCA7;0;0;0;0;0;1;0
PIM1;0;0;0;0;0;1;1
CCNH;1;1;0;1;0;1;0
BCL6;0;0;0;0;0;0;1
AC005920.1;0;1;0;0;0;0;0
